Pressure,Temperature,Salinity
13.850148654262217,1.6277444439955513,34.71332342431931
77.29415447005617,2.3816128614075343,34.54708226493865
57.4324732542883,2.9123711446064573,34.69827599379094
11.889879477609266,2.622543436581371,34.62270879297011
26.16831173303028,1.5474830571169922,34.70174609184005
42.25265637958168,2.211773043282938,35.197725448525325
23.33542307174502,2.3787119066401115,34.95752239380324
97.89407386473374,2.333395244123057,35.40409568433132
62.38753968428702,1.6887485170722412,35.129810269244906
5.0802756059881045,1.235435311300398,35.405206533546746
